Key Values,LineNumber,SourceName,M_NB,M_QTY_INDEX,M_TP_BUY,CURRENCY,INSTRUMENT,TRN_STATUS,TRN_FMLY,TRN_GRP,TRN_TYPE,PORTFOLIO,M_PL_CGR2,M_PL_CGRA2,M_PL_CGU2,M_PL_CGUA2,M_PL_CSFCP2,M_PL_CSFI2,M_PL_CSFR2,M_PL_CSFRV2,M_PL_CSNF2,M_PL_CSNFCP2,M_PL_CSNFR2,M_PL_CSNFRV2,M_PL_FE2,M_PL_FEFI2,M_PL_FMV2,M_PL_FMVCL2,M_PL_FPFCP2,M_PL_FPFRV2,M_PL_FPNFCP2,M_PL_FPNFRV2,M_PL_FTFI2,M_PL_INSCUR,M_PL_KEY1,M_PL_MVFCP2,M_PL_MVFRV2,M_PL_MVNFCP2,M_PL_MVNFRV2,M_PL_NFMV2,M_PL_NFMVCL2,M_PL_RVR2,M_PL_RVRA2,M_PL_RVU2,M_PL_RVUA2,M_PLIRDACC12,M_PLIRDACC22,M_PLIRDACS12,M_PLIRDACS22,M_PLIRDCUR1,M_PLIRDCUR2,M_PLIRDFPV12,M_PLIRDFPV22,M_RSKSECTION,M_TP_TYPE
66876382,5,MX 3.1,66876382,0,B,CN1,CN1 7DREPO 3M N,MKT_OP,IRD,IRS,   ,DCNSH IRD BL,0,0,925323.1064,925323.1064,0,0,0,0,0,0,0,0,0,0,924828.9687,0,0,0,0,0,-494.137695,CN1,30spaces,924828.9687,0,925323.1064,0,925323.1064,0,0,0,0,0,-949349.59,1146991.5,-949349.59,1146991.5,CN1,CN1,-6084526.24,7009355.21,20spaces,11spaces
67228919,54,MX 2.1,67228919,0,B,CN1,CN1 7DREPO 3M N,LIVE,IRD,IRS,   ,DCNSH IRD BL,0,0,1193377.317,1193377.317,0,0,0,0,0,0,0,0,-1210,-2.965614,1192740.034,1192740.034,0,0,0,0,-637.283034,CN1,30spaces,1192740.034,0,1193377.317,0,1193377.317,1193377.317,0,0,0,0,-473835.62,668198.12,-473835.62,668198.12,CN1,CN1,-5654954.23,6847694.27,20spaces,11spaces
67228919,54,MX 3.1,67228919,0,B,CN1,CN1 7DREPO 3M N,MKT_OP,IRD,IRS,   ,DCNSH IRD BL,0,0,1193377.317,1193377.317,0,0,0,0,0,0,0,0,0,0,1192740.034,0,0,0,0,0,-637.283034,CN1,30spaces,1192740.034,0,1193377.317,0,1193377.317,0,0,0,0,0,-473835.62,668198.12,-473835.62,668198.12,CN1,CN1,-5654954.23,6847694.27,20spaces,11spaces
67228918,53,MX 2.1,67228918,0,B,CN1,CN1 7DREPO 3M N,LIVE,IRD,IRS,   ,DCNSH IRD BL,0,0,-1068662.353,-1068662.353,0,0,0,0,0,0,0,0,-710,-1.740154,-1068091.67,-1068091.67,0,0,0,0,570.683201,CN1,30spaces,-1068091.67,0,-1068662.353,0,-1068662.353,-1068662.353,0,0,0,0,237534.25,-334099.06,237534.25,-334099.06,CN1,CN1,5584299.32,-6652390.99,20spaces,11spaces
67228918,53,MX 3.1,67228918,0,B,CN1,CN1 7DREPO 3M N,MKT_OP,IRD,IRS,   ,DCNSH IRD BL,0,0,-1068662.353,-1068662.353,0,0,0,0,0,0,0,0,0,0,-1068091.67,0,0,0,0,0,570.683201,CN1,30spaces,-1068091.67,0,-1068662.353,0,-1068662.353,0,0,0,0,0,237534.25,-334099.06,237534.25,-334099.06,CN1,CN1,5584299.32,-6652390.99,20spaces,11spaces
66758277,18,MX 2.1,66758277,0,B,CN1,CN1 7DREPO 3M N,LIVE,IRD,IRS,   ,DCNSH IRD KT,0,0,-648478.2663,-648478.2663,0,0,0,0,0,0,0,0,-710,-2.650366,-648131.9683,-648131.9683,0,0,0,0,346.298016,CN1,30spaces,-648131.9683,0,-648478.2663,0,-648478.2663,-648478.2663,0,0,0,0,408328.77,-497081.01,408328.77,-497081.01,CN1,CN1,6009757.58,-6657889.55,20spaces,11spaces
66758277,18,MX 3.1,66758277,0,B,CN1,CN1 7DREPO 3M N,MKT_OP,IRD,IRS,   ,DCNSH IRD KT,0,0,-648478.2663,-648478.2663,0,0,0,0,0,0,0,0,0,0,-648131.9683,0,0,0,0,0,346.298016,CN1,30spaces,-648131.9683,0,-648478.2663,0,-648478.2663,0,0,0,0,0,408328.77,-497081.01,408328.77,-497081.01,CN1,CN1,6009757.58,-6657889.55,20spaces,11spaces
66876418,10,MX 2.1,66876418,0,B,CN1,CN1 7DREPO 3M N,LIVE,IRD,IRS,   ,DCNSH IRD BL,0,0,-364717.7603,-364717.7603,0,0,0,0,0,0,0,0,-3110,-10.485715,-364522.9951,-364522.9951,0,0,0,0,194.765258,CN1,30spaces,-364522.9951,0,-364717.7603,0,-364717.7603,-364717.7603,0,0,0,0,357863.01,-429584.83,357863.01,-429584.83,CN1,CN1,3053929.86,-3418452.86,20spaces,11spaces
66876418,10,MX 3.1,66876418,0,B,CN1,CN1 7DREPO 3M N,MKT_OP,IRD,IRS,   ,DCNSH IRD BL,0,0,-364717.7603,-364717.7603,0,0,0,0,0,0,0,0,-2500,-8.463251,-364522.9951,0,0,0,0,0,194.765258,CN1,30spaces,-364522.9951,0,-364717.7603,0,-364717.7603,0,0,0,0,0,357863.01,-429584.83,357863.01,-429584.83,CN1,CN1,3053929.86,-3418452.86,20spaces,11spaces
66876657,36,MX 2.1,66876657,0,B,CN1,CN1 7DREPO 3M N,LIVE,IRD,IRS,   ,DCNSH IRD BL,0,0,523589.3885,523589.3885,0,0,0,0,0,0,0,0,-710,-2.354015,523309.7831,523309.7831,0,0,0,0,-279.60531,CN1,30spaces,523309.7831,0,523589.3885,0,523589.3885,523589.3885,0,0,0,0,-364191.78,429584.83,-364191.78,429584.83,CN1,CN1,-6130455.55,6653765.34,20spaces,11spaces
