Key Values_;_LineNumber_;_SourceName_;_M_NB_;_M_QTY_INDEX_;_M_TP_BUY_;_CURRENCY_;_INSTRUMENT_;_TRN_STATUS_;_TRN_FMLY_;_TRN_GRP_;_TRN_TYPE_;_PORTFOLIO_;_M_PL_CGR2_;_M_PL_CGRA2_;_M_PL_CGU2_;_M_PL_CGUA2_;_M_PL_CSFCP2_;_M_PL_CSFI2_;_M_PL_CSFR2_;_M_PL_CSFRV2_;_M_PL_CSNF2_;_M_PL_CSNFCP2_;_M_PL_CSNFR2_;_M_PL_CSNFRV2_;_M_PL_FE2_;_M_PL_FEFI2_;_M_PL_FMV2_;_M_PL_FMVCL2_;_M_PL_FPFCP2_;_M_PL_FPFRV2_;_M_PL_FPNFCP2_;_M_PL_FPNFRV2_;_M_PL_FTFI2_;_M_PL_INSCUR_;_M_PL_KEY1_;_M_PL_MVFCP2_;_M_PL_MVFRV2_;_M_PL_MVNFCP2_;_M_PL_MVNFRV2_;_M_PL_NFMV2_;_M_PL_NFMVCL2_;_M_PL_RVR2_;_M_PL_RVRA2_;_M_PL_RVU2_;_M_PL_RVUA2_;_M_PLIRDACC12_;_M_PLIRDACC22_;_M_PLIRDACS12_;_M_PLIRDACS22_;_M_PLIRDCUR1_;_M_PLIRDCUR2_;_M_PLIRDFPV12_;_M_PLIRDFPV22_;_M_RSKSECTION_;_M_TP_TYPE
67387216_;_75_;_MX 2.1_;_67387216_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_LIVE_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD BL_;_0_;_0_;_-169220.881_;_-169220.881_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-6229.53_;_-13.784416_;_-169130.5143_;_-169130.5143_;_0_;_0_;_0_;_0_;_90.366722_;_CN1_;_30spaces_;_-169130.5143_;_0_;_-169220.881_;_0_;_-169220.881_;_-169220.881_;_0_;_0_;_0_;_0_;_113095.89_;_-146207.65_;_113095.89_;_-146207.65_;_CN1_;_CN1_;_7889513.84_;_-8058644.35_;_20spaces_;_11spaces_;_ 
67387216_;_75_;_MX 3.1_;_67387216_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_MKT_OP_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD BL_;_0_;_0_;_-169220.881_;_-169220.881_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-5719.53_;_-12.758671_;_-169130.5143_;_0_;_0_;_0_;_0_;_0_;_90.366722_;_CN1_;_30spaces_;_-169130.5143_;_0_;_-169220.881_;_0_;_-169220.881_;_0_;_0_;_0_;_0_;_0_;_113095.89_;_-146207.65_;_113095.89_;_-146207.65_;_CN1_;_CN1_;_7889513.84_;_-8058644.35_;_20spaces_;_11spaces_;_ 
67387211_;_73_;_MX 2.1_;_67387211_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_LIVE_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD BL_;_0_;_0_;_179270.116_;_179270.116_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-310_;_-0.623492_;_179174.3828_;_179174.3828_;_0_;_0_;_0_;_0_;_-95.733178_;_CN1_;_30spaces_;_179174.3828_;_0_;_179270.116_;_0_;_179270.116_;_179270.116_;_0_;_0_;_0_;_0_;_-115397.26_;_151623.73_;_-115397.26_;_151623.73_;_CN1_;_CN1_;_-1538015.83_;_1717190.21_;_20spaces_;_11spaces_;_ 
67387211_;_73_;_MX 3.1_;_67387211_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_MKT_OP_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD BL_;_0_;_0_;_179270.116_;_179270.116_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_179174.3828_;_0_;_0_;_0_;_0_;_0_;_-95.733178_;_CN1_;_30spaces_;_179174.3828_;_0_;_179270.116_;_0_;_179270.116_;_0_;_0_;_0_;_0_;_0_;_-115397.26_;_151623.73_;_-115397.26_;_151623.73_;_CN1_;_CN1_;_-1538015.83_;_1717190.21_;_20spaces_;_11spaces_;_ 
67387212_;_74_;_MX 2.1_;_67387212_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_LIVE_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD BL_;_0_;_0_;_-134800.5501_;_-134800.5501_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-6227.36_;_-13.779575_;_-134728.5644_;_-134728.5644_;_0_;_0_;_0_;_0_;_71.985702_;_CN1_;_30spaces_;_-134728.5644_;_0_;_-134800.5501_;_0_;_-134800.5501_;_-134800.5501_;_0_;_0_;_0_;_0_;_113589.04_;_-146207.65_;_113589.04_;_-146207.65_;_CN1_;_CN1_;_7923915.79_;_-8058644.35_;_20spaces_;_11spaces_;_ 
67387212_;_74_;_MX 3.1_;_67387212_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_MKT_OP_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD BL_;_0_;_0_;_-134800.5501_;_-134800.5501_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-5717.36_;_-12.753831_;_-134728.5644_;_0_;_0_;_0_;_0_;_0_;_71.985702_;_CN1_;_30spaces_;_-134728.5644_;_0_;_-134800.5501_;_0_;_-134800.5501_;_0_;_0_;_0_;_0_;_0_;_113589.04_;_-146207.65_;_113589.04_;_-146207.65_;_CN1_;_CN1_;_7923915.79_;_-8058644.35_;_20spaces_;_11spaces_;_ 
67770094_;_91_;_MX 2.1_;_67770094_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_LIVE_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD NH_;_0_;_0_;_-20851.27355_;_-20851.27355_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-310_;_-0.273743_;_-20840.13863_;_-20840.13863_;_0_;_0_;_0_;_0_;_11.134922_;_CN1_;_30spaces_;_-20840.13863_;_0_;_-20851.27355_;_0_;_-20851.27355_;_-20851.27355_;_0_;_0_;_0_;_0_;_47123.29_;_-76460.55_;_47123.29_;_-76460.55_;_CN1_;_CN1_;_1684142.62_;_-1704982.76_;_20spaces_;_11spaces_;_ 
67770094_;_91_;_MX 3.1_;_67770094_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_MKT_OP_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD NH_;_0_;_0_;_-20851.27355_;_-20851.27355_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-20840.13863_;_0_;_0_;_0_;_0_;_0_;_11.134922_;_CN1_;_30spaces_;_-20840.13863_;_0_;_-20851.27355_;_0_;_-20851.27355_;_0_;_0_;_0_;_0_;_0_;_47123.29_;_-76460.55_;_47123.29_;_-76460.55_;_CN1_;_CN1_;_1684142.62_;_-1704982.76_;_20spaces_;_11spaces_;_ 
67387220_;_77_;_MX 2.1_;_67387220_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_LIVE_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD BL_;_0_;_0_;_455421.5942_;_455421.5942_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-6109.46_;_-13.362954_;_455178.3916_;_455178.3916_;_0_;_0_;_0_;_0_;_-243.202591_;_CN1_;_30spaces_;_455178.3916_;_0_;_455421.5942_;_0_;_455421.5942_;_455421.5942_;_0_;_0_;_0_;_0_;_-430027.4_;_584830.61_;_-430027.4_;_584830.61_;_CN1_;_CN1_;_-6411660.35_;_6866838.74_;_20spaces_;_11spaces_;_ 
67387220_;_77_;_MX 3.1_;_67387220_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_MKT_OP_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD BL_;_0_;_0_;_455421.5942_;_455421.5942_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-4899.46_;_-10.929325_;_455178.3916_;_0_;_0_;_0_;_0_;_0_;_-243.202591_;_CN1_;_30spaces_;_455178.3916_;_0_;_455421.5942_;_0_;_455421.5942_;_0_;_0_;_0_;_0_;_0_;_-430027.4_;_584830.61_;_-430027.4_;_584830.61_;_CN1_;_CN1_;_-6411660.35_;_6866838.74_;_20spaces_;_11spaces_;_ 
